AccX,AccY,AccZ,Dist
-0.02,0.0,-0.93,182.0
-0.02,0.0,-0.93,182.0
-0.02,0.0,-0.93,183.0
-0.02,0.06,-0.93,181.0
-0.02,-0.0,-0.93,183.0
-0.01,0.0,-0.93,182.0
-0.02,0.0,-0.93,185.0
-0.02,-0.01,-0.93,188.0
-0.02,-0.01,-0.93,185.0
-0.03,-0.01,-0.93,189.0
-0.02,-0.01,-0.93,186.0
-0.03,-0.01,-0.94,189.0
-0.02,-0.0,-0.93,187.0
-0.03,-0.0,-0.94,188.0
-0.02,0.0,-0.92,188.0
-0.02,-0.0,-0.92,190.0
-0.02,0.0,-0.93,189.0
-0.02,-0.0,-0.94,187.0
-0.03,-0.01,-0.93,192.0
-0.02,-0.01,-0.93,189.0
-0.03,-0.06,-0.93,193.0
-0.03,-0.0,-0.94,190.0
-0.03,-0.01,-0.93,194.0
-0.03,0.0,-0.94,192.0
-0.03,-0.01,-0.93,193.0
-0.02,-0.0,-0.93,192.0
-0.02,-0.0,-0.93,196.0
-0.02,-0.0,-0.93,194.0
-0.03,-0.01,-0.94,196.0
-0.02,0.0,-0.93,198.0
-0.03,-0.0,-0.93,192.0
-0.02,-0.0,-0.93,200.0
-0.02,0.01,-0.93,199.0
-0.03,-0.06,-0.94,199.0
-0.02,-0.01,-0.94,200.0
-0.02,0.0,-0.94,201.0
-0.02,-0.01,-0.94,200.0
-0.03,0.0,-0.93,202.0
-0.03,-0.0,-0.93,204.0
-0.02,0.0,-0.94,205.0
-0.02,-0.06,-0.93,205.0
-0.03,-0.0,-0.93,202.0
-0.02,0.0,-0.93,200.0
-0.03,-0.0,-0.93,204.0
-0.02,-0.0,-0.92,205.0
-0.02,-0.0,-0.93,206.0
-0.02,-0.0,-0.93,204.0
-0.03,0.0,-0.93,203.0
-0.02,0.0,-0.93,207.0
-0.03,0.0,-0.93,205.0
-0.02,-0.0,-0.93,203.0
-0.03,-0.01,-0.93,206.0
-0.02,0.0,-0.94,202.0
-0.02,-0.0,-0.93,204.0
-0.03,-0.0,-0.93,206.0
-0.04,-0.01,-0.93,205.0
-0.03,-0.0,-0.92,205.0
-0.02,0.0,-0.92,209.0
-0.03,-0.01,-0.93,207.0
-0.03,0.0,-0.94,207.0
-0.03,0.0,-0.93,210.0
-0.02,0.01,-0.93,208.0
-0.02,-0.0,-0.94,209.0
-0.01,-0.0,-0.93,210.0
-0.02,0.0,-0.93,208.0
-0.03,-0.0,-0.93,211.0
-0.02,-0.0,-0.93,211.0
-0.02,0.0,-0.93,214.0
-0.02,0.0,-0.93,212.0
-0.03,0.0,-0.94,211.0
-0.03,0.0,-0.93,212.0
-0.02,0.0,-0.94,212.0
-0.02,-0.0,-0.93,213.0
-0.02,-0.01,-0.94,212.0
-0.02,0.01,-0.94,215.0
-0.01,0.01,-0.93,214.0
-0.02,-0.0,-0.93,212.0
-0.03,0.0,-0.93,214.0
-0.03,-0.0,-0.94,215.0
-0.02,-0.0,-0.94,218.0
-0.02,0.01,-0.93,222.0
-0.02,0.0,-0.93,219.0
-0.03,-0.0,-0.94,223.0
-0.03,0.01,-0.94,219.0
-0.02,-0.0,-0.93,224.0
-0.03,-0.0,-0.93,223.0
-0.03,-0.0,-0.92,220.0
-0.03,-0.0,-0.93,219.0
-0.02,-0.0,-0.93,224.0
-0.02,0.0,-0.94,226.0
-0.02,-0.0,-0.93,224.0
-0.03,-0.0,-0.92,225.0
-0.03,-0.0,-0.93,231.0
-0.02,-0.0,-0.93,225.0
-0.02,-0.0,-0.92,225.0
-0.02,-0.0,-0.93,231.0
-0.02,0.0,-0.94,228.0
-0.03,-0.01,-0.93,229.0
-0.03,0.0,-0.93,230.0
-0.02,0.0,-0.93,232.0
-0.02,-0.0,-0.93,233.0
-0.02,-0.0,-0.93,231.0
-0.03,-0.01,-0.93,234.0
-0.02,0.01,-0.93,233.0
-0.03,-0.0,-0.94,235.0
-0.03,0.01,-0.94,235.0
-0.02,-0.0,-0.94,236.0
-0.02,-0.0,-0.94,235.0
-0.02,-0.0,-0.94,238.0
-0.03,-0.01,-0.93,237.0
-0.03,-0.01,-0.93,238.0
-0.02,-0.0,-0.93,238.0
-0.03,0.01,-0.93,241.0
-0.01,-0.0,-0.94,238.0
-0.02,0.0,-0.93,240.0
-0.02,0.01,-0.93,240.0
-0.01,-0.01,-0.93,241.0
-0.02,-0.0,-0.92,237.0
-0.03,0.0,-0.94,242.0
-0.02,-0.01,-0.93,247.0
-0.02,-0.0,-0.93,240.0
-0.03,-0.01,-0.94,243.0
-0.02,0.0,-0.93,242.0
-0.02,-0.0,-0.94,242.0
-0.03,-0.0,-0.93,247.0
-0.03,-0.01,-0.93,245.0
-0.01,-0.0,-0.94,250.0
-0.02,-0.0,-0.94,249.0
-0.03,-0.0,-0.92,247.0
-0.02,-0.0,-0.93,246.0
-0.02,-0.0,-0.94,247.0
-0.03,0.0,-0.93,248.0
-0.02,0.0,-0.93,252.0
-0.02,0.0,-0.93,252.0
-0.02,0.01,-0.94,253.0
-0.02,0.0,-0.94,254.0
-0.03,-0.06,-0.93,252.0
-0.02,0.0,-0.93,255.0
-0.02,-0.01,-0.93,254.0
-0.03,0.0,-0.93,254.0
-0.03,-0.0,-0.94,252.0
-0.02,-0.0,-0.94,255.0
-0.02,0.0,-0.93,258.0
-0.02,-0.0,-0.93,255.0
-0.03,0.01,-0.93,256.0
-0.02,-0.0,-0.92,255.0
-0.03,-0.06,-0.93,257.0
-0.02,0.0,-0.93,258.0
-0.02,-0.0,-0.92,256.0
-0.03,-0.0,-0.94,255.0
-0.03,0.0,-0.93,258.0
-0.03,-0.01,-0.92,256.0
-0.02,-0.01,-0.93,250.0
-0.02,0.0,-0.93,248.0
-0.03,0.0,-0.93,248.0
-0.03,0.0,-0.94,247.0
-0.02,-0.0,-0.99,247.0
-0.02,-0.0,-0.93,248.0
-0.02,0.0,-0.94,243.0
-0.02,0.01,-0.93,242.0
-0.02,-0.01,-0.94,240.0
-0.03,-0.0,-0.94,241.0
-0.02,-0.01,-0.93,240.0
-0.03,0.0,-0.93,238.0
-0.03,-0.0,-0.93,233.0
-0.02,0.0,-0.93,233.0
-0.02,-0.0,-0.93,236.0
-0.02,-0.01,-0.93,232.0
-0.03,0.0,-0.93,234.0
-0.02,0.0,-0.95,233.0
-0.03,-0.01,-0.95,226.0
-0.02,-0.0,-0.93,231.0
-0.02,-0.0,-0.93,225.0
-0.02,0.01,-0.99,223.0
-0.01,-0.01,-0.94,224.0
-0.03,-0.0,-0.93,221.0
-0.02,-0.01,-0.93,223.0
-0.02,0.05,-0.93,220.0
-0.02,0.0,-0.94,218.0
-0.03,0.0,-0.94,214.0
-0.02,-0.0,-0.93,211.0
-0.02,-0.01,-0.94,213.0
-0.03,-0.01,-0.92,211.0
-0.03,0.0,-0.93,214.0
-0.03,-0.0,-0.93,209.0
-0.02,-0.01,-0.94,210.0
-0.02,0.0,-0.93,206.0
-0.03,-0.0,-0.93,208.0
-0.02,0.01,-0.93,208.0
-0.02,-0.01,-0.94,206.0
-0.02,-0.01,-0.94,204.0
-0.02,-0.0,-0.94,202.0
-0.02,0.0,-0.93,200.0
-0.03,-0.0,-0.93,200.0
-0.02,-0.0,-0.93,198.0
-0.03,-0.0,-0.93,196.0
-0.02,0.0,-0.94,191.0
-0.02,-0.01,-0.93,190.0
-0.03,-0.0,-0.93,191.0
-0.02,-0.0,-0.93,189.0
-0.02,-0.0,-0.94,185.0
-0.02,-0.01,-0.93,186.0
-0.02,0.01,-0.93,183.0
-0.02,-0.01,-0.95,180.0
-0.03,-0.01,-0.94,181.0
-0.02,-0.0,-0.94,175.0
-0.03,-0.0,-0.94,174.0
-0.03,-0.0,-0.93,174.0
-0.03,-0.0,-0.93,170.0
-0.02,-0.0,-0.93,173.0
-0.03,-0.01,-0.93,168.0
-0.02,0.0,-0.93,169.0
-0.02,-0.0,-0.93,166.0
-0.02,-0.0,-0.93,165.0
-0.03,-0.0,-1.0,166.0
-0.03,-0.01,-0.93,160.0
-0.02,-0.01,-0.94,158.0
-0.03,-0.0,-0.94,157.0
-0.02,0.06,-0.93,153.0
-0.03,-0.01,-0.94,153.0
-0.02,0.0,-0.94,153.0
-0.03,-0.01,-0.94,149.0
-0.02,-0.0,-0.94,146.0
-0.02,-0.01,-0.94,142.0
-0.03,0.01,-0.93,143.0
-0.03,-0.0,-0.94,141.0
-0.02,-0.0,-0.93,140.0
-0.02,-0.0,-0.93,137.0
-0.02,-0.0,-0.93,137.0
-0.03,-0.01,-0.93,131.0
-0.02,0.0,-0.94,133.0
-0.02,0.0,-0.94,132.0
-0.02,0.06,-0.93,128.0
-0.02,-0.01,-0.93,134.0
-0.03,-0.0,-0.93,126.0
-0.03,-0.0,-0.93,128.0
-0.02,-0.01,-0.94,128.0
-0.02,0.0,-0.94,129.0
-0.03,-0.0,-0.94,123.0
-0.03,0.0,-0.93,121.0
-0.03,0.0,-0.93,118.0
-0.02,0.0,-0.93,116.0
-0.03,-0.0,-0.93,118.0
-0.02,0.01,-0.94,118.0
-0.03,-0.0,-0.94,113.0
-0.03,0.01,-0.94,112.0
-0.03,-0.01,-0.93,112.0
-0.02,0.0,-0.93,112.0
-0.02,-0.0,-0.94,109.0
-0.02,0.0,-0.94,110.0
-0.02,-0.01,-0.94,109.0
-0.02,-0.01,-0.94,104.0
-0.02,-0.0,-0.93,105.0
-0.02,-0.01,-0.93,103.0
-0.03,0.0,-0.93,101.0
-0.03,0.0,-0.93,103.0
-0.02,-0.0,-0.93,98.0
-0.02,-0.0,-0.93,99.0
-0.02,-0.01,-0.93,97.0
-0.02,0.0,-0.94,95.0
-0.02,-0.01,-0.94,95.0
-0.02,-0.0,-0.94,94.0
-0.03,-0.0,-0.94,95.0
-0.03,-0.01,-0.93,90.0
-0.03,0.0,-0.93,91.0
-0.02,0.0,-0.94,88.0
-0.02,-0.0,-0.93,86.0
-0.02,0.0,-0.93,86.0
-0.02,-0.0,-0.94,82.0
-0.03,0.0,-0.95,82.0
-0.02,-0.01,-0.93,80.0
-0.03,-0.0,-0.93,81.0
-0.03,-0.01,-0.93,79.0
-0.03,0.0,-0.93,79.0
-0.03,-0.01,-0.93,80.0
-0.01,-0.0,-0.94,80.0
-0.03,-0.0,-0.94,75.0
-0.02,0.0,-0.93,79.0
-0.02,-0.01,-0.93,77.0
-0.02,-0.01,-0.93,73.0
-0.03,0.0,-0.93,73.0
-0.02,0.01,-0.94,72.0
-0.02,0.01,-1.0,74.0
-0.02,-0.0,-0.93,72.0
-0.02,-0.0,-0.93,71.0
-0.02,-0.0,-0.94,69.0
-0.02,-0.01,-0.93,68.0
-0.03,0.0,-0.93,70.0
-0.02,0.0,-0.93,65.0
-0.02,-0.0,-0.94,65.0
-0.02,-0.0,-0.95,63.0
-0.02,-0.01,-0.93,64.0
-0.02,0.0,-0.93,63.0
-0.02,-0.0,-0.94,63.0
-0.02,0.0,-0.93,62.0
-0.02,-0.01,-0.94,60.0
-0.03,0.0,-0.94,58.0
-0.03,0.01,-0.94,59.0
-0.01,-0.02,-0.94,55.0
-0.02,0.01,-0.94,53.0
-0.02,-0.01,-0.94,55.0
-0.02,-0.06,-0.93,51.0
-0.03,-0.0,-0.94,51.0
-0.02,0.0,-0.94,51.0
-0.02,-0.01,-0.94,49.0
-0.03,-0.0,-0.92,51.0
-0.02,-0.0,-0.94,48.0
-0.02,-0.0,-0.94,48.0
-0.02,0.0,-0.99,45.0
-0.02,-0.0,-0.94,43.0
-0.03,-0.01,-0.94,46.0
-0.03,-0.01,-0.94,41.0
-0.02,-0.0,-0.94,45.0
-0.03,-0.01,-0.94,43.0
-0.02,0.01,-0.94,46.0
-0.02,-0.0,-0.93,41.0
-0.03,-0.06,-0.93,41.0
-0.03,-0.0,-0.93,42.0
-0.02,0.0,-0.94,43.0
-0.02,-0.0,-0.94,41.0
-0.03,-0.06,-0.93,39.0
-0.03,-0.0,-0.94,42.0
-0.02,-0.0,-0.93,37.0
-0.02,0.0,-0.88,36.0
-0.02,0.0,-0.93,37.0
-0.02,0.0,-0.94,35.0
-0.03,0.0,-0.93,35.0
-0.02,0.01,-0.93,36.0
-0.02,0.0,-0.93,34.0
-0.02,0.0,-0.94,31.0
-0.02,-0.0,-0.93,35.0
-0.02,0.0,-1.0,32.0
-0.02,0.0,-0.94,34.0
-0.03,-0.0,-0.93,29.0
-0.03,0.0,-0.93,30.0
-0.02,0.06,-0.94,31.0
-0.02,0.01,-0.94,29.0
-0.02,0.01,-0.94,31.0
-0.02,-0.0,-0.93,28.0
-0.03,-0.01,-0.94,29.0
-0.02,0.01,-0.94,30.0
-0.02,0.01,-0.94,27.0
-0.02,0.0,-0.93,32.0
-0.03,-0.01,-0.94,31.0
-0.03,0.0,-0.93,28.0
-0.02,-0.0,-0.93,33.0
-0.03,0.06,-0.93,27.0
-0.03,-0.0,-0.93,30.0
-0.02,-0.0,-0.93,29.0
-0.02,-0.01,-0.93,30.0
-0.03,-0.0,-0.94,25.0
-0.02,-0.0,-0.93,26.0
-0.03,-0.01,-0.94,26.0
-0.02,-0.0,-0.94,26.0
-0.03,-0.0,-0.93,24.0
-0.02,0.0,-0.94,27.0
-0.03,0.0,-0.94,28.0
-0.03,0.0,-0.94,28.0
-0.02,-0.0,-0.93,26.0
-0.03,-0.0,-0.93,26.0
-0.02,0.0,-0.93,29.0
-0.02,-0.0,-0.93,21.0
-0.02,0.0,-0.93,22.0
-0.03,0.0,-0.94,22.0
-0.02,-0.0,-0.94,25.0
-0.03,-0.01,-0.93,29.0
-0.03,-0.0,-0.93,24.0
-0.02,-0.0,-0.93,21.0
-0.03,-0.0,-0.88,22.0
-0.02,-0.0,-0.94,26.0
-0.02,0.0,-0.93,24.0
-0.02,-0.01,-0.93,23.0
-0.02,-0.01,-0.93,23.0
-0.02,-0.01,-0.94,23.0
-0.02,-0.01,-0.93,25.0
-0.03,-0.0,-0.93,23.0
-0.02,-0.01,-0.94,25.0
-0.03,-0.01,-0.93,22.0
-0.02,0.0,-0.93,23.0
-0.03,-0.0,-0.88,24.0
-0.02,-0.0,-0.94,21.0
-0.02,-0.0,-0.94,22.0
-0.03,-0.0,-0.93,23.0
-0.02,0.0,-0.93,22.0
-0.02,-0.0,-0.94,24.0
-0.03,-0.01,-0.93,17.0
-0.02,-0.0,-0.94,18.0
-0.02,0.0,-0.93,19.0
-0.02,-0.01,-0.94,20.0
-0.02,-0.01,-0.94,17.0
-0.02,0.0,-0.94,20.0
-0.02,-0.0,-0.93,22.0
-0.03,-0.0,-0.93,23.0
-0.02,-0.0,-0.94,20.0
-0.02,-0.0,-0.99,22.0
-0.02,-0.0,-0.94,20.0
-0.02,0.0,-0.93,20.0
-0.03,-0.01,-0.93,23.0
