AccX,AccY,AccZ,Dist,Time
0.14,0.07,1.05,30.0,23.070813417434692
0.13,0.08,1.04,29.0,23.133744716644287
0.13,0.08,1.05,29.0,23.19676446914673
0.14,0.08,1.05,29.0,23.26025915145874
0.14,0.07,1.06,29.0,23.3236083984375
0.12,0.05,1.06,32.0,23.386033058166504
0.15,0.08,1.01,27.0,23.4496910572052
0.14,0.08,1.05,31.0,23.512623071670532
0.13,0.07,1.05,34.0,23.57513689994812
0.12,0.08,1.07,31.0,23.638346433639526
0.15,0.08,1.04,28.0,23.70191764831543
0.18,0.06,1.04,31.0,23.76484179496765
0.17,0.06,1.04,27.0,23.828125715255737
0.2,0.04,1.04,30.0,23.8904709815979
0.15,0.02,1.06,30.0,23.954010248184204
0.09,0.12,1.05,28.0,24.017002820968628
0.11,0.1,1.06,28.0,24.07930040359497
0.13,0.08,1.05,30.0,24.143812656402588
0.15,0.07,1.05,30.0,24.20551037788391
0.1,0.09,1.07,29.0,24.269407272338867
0.11,0.09,1.08,29.0,24.33225417137146
0.14,0.07,1.04,28.0,24.39509916305542
0.13,0.08,1.05,31.0,24.458813905715942
0.11,0.07,1.06,32.0,24.520803689956665
0.11,0.09,1.08,28.0,24.58405375480652
0.11,0.09,1.06,31.0,24.647855520248413
0.14,0.09,1.06,28.0,24.71060562133789
0.11,0.1,1.06,27.0,24.773807048797607
0.13,0.1,1.11,28.0,24.8370201587677
0.11,0.09,1.04,26.0,24.900157928466797
0.11,0.09,1.07,32.0,24.96259307861328
0.12,0.09,1.07,30.0,25.025819540023804
0.1,0.08,1.03,30.0,25.08910822868347
0.12,0.09,0.95,30.0,25.151363849639893
0.12,0.08,1.06,30.0,25.215391874313354
0.13,0.08,1.07,28.0,25.278486728668213
0.11,0.08,1.03,31.0,25.341509342193604
0.09,0.09,1.04,30.0,25.404391527175903
0.12,0.09,1.05,30.0,25.467093229293823
0.14,0.07,1.06,30.0,25.5300714969635
0.13,0.09,1.05,32.0,25.597697019577026
0.14,0.08,1.07,28.0,25.65728759765625
0.13,0.08,1.06,33.0,25.719098806381226
0.13,0.08,1.05,28.0,25.782437562942505
0.12,0.07,1.07,29.0,25.845643043518066
0.14,0.1,1.08,31.0,25.90909767150879
0.13,0.07,1.05,29.0,25.972259283065796
0.14,0.07,1.05,30.0,26.035038709640503
0.06,0.09,1.02,29.0,26.097940683364868
0.09,0.07,0.98,28.0,26.161529541015625
0.12,0.08,1.05,32.0,26.22489595413208
0.13,0.08,1.06,23.0,26.287626028060913
0.14,0.09,1.06,30.0,26.35024404525757
0.13,0.1,1.09,27.0,26.413981199264526
0.13,0.08,1.06,32.0,26.47555184364319
0.13,0.08,1.04,31.0,26.540127277374268
0.12,0.08,1.05,27.0,26.60713219642639
0.12,0.09,1.12,31.0,26.66633915901184
0.12,0.08,1.06,35.0,26.728168725967407
0.13,0.09,1.05,32.0,26.791791439056396
0.13,0.08,1.06,29.0,26.854783296585083
0.13,0.08,1.08,28.0,26.917430877685547
0.12,0.07,1.05,30.0,26.981180906295776
0.12,0.08,1.05,29.0,27.04378867149353
0.17,0.09,1.06,32.0,27.107333421707153
0.13,0.08,1.06,30.0,27.170069456100464
0.13,0.09,1.06,30.0,27.232673406600952
0.13,0.09,1.1,30.0,27.2961266040802
0.08,0.07,1.02,28.0,27.36128568649292
0.12,0.08,1.05,29.0,27.42214274406433
0.12,0.09,1.06,27.0,27.48650860786438
0.14,0.08,0.99,28.0,27.549091815948486
0.12,0.09,1.05,30.0,27.610761642456055
0.13,0.08,1.06,30.0,27.674943447113037
0.13,0.08,1.1,29.0,27.737854719161987
0.12,0.1,1.06,31.0,27.80081796646118
0.13,0.08,1.04,31.0,27.864413499832153
0.13,0.08,1.06,30.0,27.92686915397644
0.14,0.11,1.05,28.0,27.990678310394287
0.11,0.08,1.04,29.0,28.054454803466797
0.13,0.09,1.05,31.0,28.115957736968994
0.14,0.08,1.05,29.0,28.17916464805603
0.12,0.08,1.06,30.0,28.242619037628174
0.12,0.08,1.04,30.0,28.304718732833862
0.11,0.07,1.07,31.0,28.36861538887024
0.13,0.08,1.07,30.0,28.431756019592285
0.13,0.06,1.05,26.0,28.494816541671753
0.12,0.09,1.05,30.0,28.557591199874878
0.12,0.09,1.09,28.0,28.620768785476685
0.13,0.08,1.05,31.0,28.68384313583374
0.13,0.08,1.05,30.0,28.747026681900024
0.13,0.08,1.06,36.0,28.80979824066162
0.13,0.08,1.07,27.0,28.87270712852478
0.12,0.08,1.06,34.0,28.93535804748535
0.12,0.08,1.05,26.0,28.99889636039734
0.11,0.07,1.05,25.0,29.06253695487976
0.14,0.1,1.07,25.0,29.124869346618652
0.13,0.07,1.06,28.0,29.1873722076416
0.13,0.09,1.05,27.0,29.253186464309692
0.11,0.09,1.05,28.0,29.31441044807434
0.11,0.08,1.03,31.0,29.377788543701172
0.14,0.08,1.06,28.0,29.440336227416992
0.1,0.08,1.0,30.0,29.50375485420227
0.12,0.1,1.13,30.0,29.566660404205322
0.12,0.08,1.04,27.0,29.62901544570923
0.13,0.08,1.04,28.0,29.692750215530396
0.11,0.09,1.05,34.0,29.7560715675354
0.1,0.09,1.03,31.0,29.819132804870605
0.14,0.07,1.06,31.0,29.881852388381958
0.12,0.07,1.05,30.0,29.945006847381592
0.13,0.08,0.98,32.0,30.00822162628174
0.11,0.09,1.04,26.0,30.070414304733276
0.13,0.07,1.06,28.0,30.134577989578247
0.12,0.09,1.05,33.0,30.197001934051514
0.09,0.08,1.06,28.0,30.260679721832275
0.13,0.08,1.07,27.0,30.325615167617798
0.14,0.09,1.05,29.0,30.38631296157837
0.12,0.09,1.06,29.0,30.44942831993103
0.13,0.09,1.1,27.0,30.512438774108887
0.12,0.08,1.06,27.0,30.57602858543396
0.13,0.09,1.05,31.0,30.63879370689392
0.14,0.09,1.12,29.0,30.70197343826294
0.12,0.09,1.04,29.0,30.764083862304688
0.13,0.09,1.06,28.0,30.827534914016724
0.13,0.08,1.04,27.0,30.890658617019653
0.12,0.09,1.05,28.0,30.954275846481323
0.12,0.08,1.06,31.0,31.01752471923828
0.13,0.08,1.06,29.0,31.08007526397705
0.12,0.1,1.05,24.0,31.143497228622437
0.12,0.09,1.06,26.0,31.206578016281128
0.13,0.08,1.05,28.0,31.268624782562256
0.13,0.09,1.06,30.0,31.331842184066772
0.09,0.08,1.05,31.0,31.399274826049805
0.12,0.08,1.06,30.0,31.458804607391357
0.13,0.08,1.07,28.0,31.52124571800232
0.13,0.09,1.12,26.0,31.585012435913086
0.13,0.09,1.05,31.0,31.647250652313232
0.13,0.08,1.06,30.0,31.710957765579224
0.13,0.08,1.05,29.0,31.77386474609375
0.12,0.08,1.08,32.0,31.836568593978882
0.11,0.08,1.05,31.0,31.90030074119568
0.12,0.09,1.06,27.0,31.963122844696045
0.14,0.08,1.06,31.0,32.026466369628906
0.12,0.08,1.03,31.0,32.08918857574463
0.06,0.06,1.69,26.0,32.151883602142334
0.17,0.06,0.66,18.0,32.215532541275024
0.05,0.05,1.05,19.0,32.279550313949585
0.05,0.11,1.06,20.0,32.34169888496399
0.01,0.04,0.85,16.0,32.40466117858887
-0.03,0.03,0.43,28.0,32.467989683151245
-0.15,0.02,1.24,22.0,32.53071045875549
-0.03,0.04,1.26,14.0,32.59364867210388
0.05,0.08,2.08,25.0,32.65652132034302
0.0,0.04,1.1,22.0,32.7197470664978
0.04,0.06,1.19,21.0,32.78206396102905
0.07,0.05,0.91,20.0,32.84534025192261
0.06,0.05,1.11,19.0,32.90857243537903
0.07,0.06,1.05,24.0,32.97173857688904
0.04,0.06,1.11,22.0,33.034751176834106
0.06,0.05,1.05,23.0,33.09757161140442
0.06,0.05,1.02,21.0,33.16098499298096
0.06,0.07,1.11,26.0,33.22374153137207
0.06,0.04,1.05,23.0,33.285868883132935
0.06,0.04,1.05,24.0,33.349613189697266
0.05,0.06,1.09,21.0,33.412686347961426
0.06,0.04,1.07,21.0,33.47474002838135
0.06,0.04,1.07,22.0,33.54068899154663
0.05,0.06,1.06,19.0,33.601749420166016
0.08,0.05,1.04,19.0,33.66433668136597
0.05,0.05,1.09,18.0,33.72766447067261
0.07,0.06,1.08,21.0,33.79068446159363
0.06,0.05,1.04,24.0,33.85400986671448
0.07,0.06,1.07,23.0,33.91683101654053
0.06,0.05,1.07,23.0,33.97982621192932
0.06,0.06,1.06,24.0,34.04298973083496
0.06,0.04,1.07,20.0,34.106404066085815
0.06,0.05,1.07,21.0,34.169222354888916
0.06,0.05,1.07,25.0,34.23207712173462
0.06,0.05,1.07,24.0,34.29525709152222
0.06,0.05,1.07,20.0,34.35819053649902
0.06,0.05,1.07,21.0,34.42258644104004
0.06,0.04,1.05,20.0,34.48345422744751
0.06,0.05,1.06,19.0,34.54698443412781
0.05,0.04,1.07,20.0,34.61061954498291
0.06,0.05,1.07,20.0,34.673617362976074
0.06,0.05,1.07,17.0,34.73640012741089
